frase,situacao
"sinto dor no peito em formato de aperto e falta de ar",alto risco
"tive um leve incômodo nas costas ao levantar da cama",baixo risco
"meu coração está muito acelerado e sinto tontura",alto risco
"estou com uma dor de cabeça fraca desde ontem",baixo risco
"desmaiei e acordei com suor frio e náusea",alto risco
"sinto um pouco de cansaço quando corro muito rápido",baixo risco
"dor forte no braço esquerdo irradiando para a mandíbula",alto risco
"estou com tosse seca mas sem dor no peito",baixo risco
"acordei com falta de ar severa e sensação de sufocamento",alto risco
"minha perna dói um pouco quando fico muito tempo em pé",baixo risco
"pressão no peito insuportável e visão turva",alto risco
"azia leve depois de comer muito no almoço",baixo risco
"palpitações fortes no peito acompanhadas de desmaio",alto risco
"dor muscular na panturrilha após o treino",baixo risco
"dor no peito que piora muito com qualquer esforço físico",alto risco
"sinto um leve formigamento na mão após dormir por cima dela",baixo risco
"falta de ar constante mesmo estando deitado e em repouso",alto risco
"dor no pescoço por causa de má postura no computador",baixo risco
"fraqueza extrema, suor frio e dor torácica",alto risco
"um pequeno cansaço no final do dia de trabalho",baixo risco
"dor de cabeça leve por causa do calor",baixo risco
"dor nas costas de tanto ficar sentado",baixo risco
"dor no pescoço e ombro tenso por estresse",baixo risco
"dor muscular na coxa depois de correr",baixo risco
"pequena dor no dedo depois de prender na porta",baixo risco
"sinto uma pontada aguda no coração que não passa",alto risco
"dor de garganta leve ao engolir e tosse com catarro",baixo risco
"dor no peito irradiando para as costas e braço direito",alto risco
"dor no ombro depois de jogar tenis ontem à tarde",baixo risco
"acordei com palpitações fortíssimas e vista escura",alto risco
"pequeno incômodo no estômago após comer muito doce",baixo risco
"sensação de peso no peito como se alguém estivesse pisando",alto risco
"dor de cabeça leve após passar o dia no computador",baixo risco
"cansaço extremo e súbito ao caminhar curtas distâncias",alto risco
"cansaço nas pernas após andar no shopping o dia todo",baixo risco
"tontura frequente com desmaios nas últimas semanas",alto risco
"dor muscular no abdômen depois de rir muito",baixo risco
"falta de ar severa acompanhada de vômito e calafrio",alto risco
"formigamento no pé por sentar em cima da perna",baixo risco
"dor torácica que irradia para o maxilar e suor frio",alto risco
"nariz entupido e dor de cabeça frontal leve",baixo risco
"batimentos irregulares e dor no meio do peito",alto risco
"dor no joelho ao subir escadas do prédio",baixo risco
"fraqueza repentina de um lado do corpo e dor de cabeça intensa",alto risco
"tontura rápida por levantar muito depressa da cama",baixo risco
"pressão alta persistente com zumbido no ouvido e dor na nuca",alto risco
"falta de ar leve porque estou fora de forma e corri",baixo risco
"confusão mental suor excessivo e dor aguda no peito",alto risco
"dor nas costas na região lombar ao abaixar para pegar uma caixa",baixo risco
"falta de ar aguda que me acorda no meio da noite",alto risco
"azia leve depois de tomar café com leite de manhã",baixo risco
"labios roxos falta de ar e palpitação constante",alto risco
"dor no cotovelo ao carregar sacolas pesadas do mercado",baixo risco
"dor no peito que queima e não alivia com repouso de jeito nenhum",alto risco
"dor de dente latejante do lado direito da boca",baixo risco